Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
142,SNOQULMI,444.925000,+,5.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
143,Snek BJI,442.150000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,KF7BJI Rattlesnake Ridge,,,,
144,PSE Snek,441.775000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
145,SAR Snek,145.110000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"KC7SAR Rattlesnake Ridge, North Bend WA; linked to Skykomish",,,,
146,Snek YSF,441.650000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,N7NFY Rattlesnake Ridge; YSF,,,,
147,  KNKS,88.700000,off,5.000000,,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
148,  C895,89.500000,off,0.000000,,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
149,  KEXP,90.300000,off,5.000000,,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
150,  KUOW,94.900000,off,0.000000,,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
151,,147.512500,split,147.512500,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,147 simplex block,,,,
152,,147.520000,split,147.520000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,147 simplex block,,,,
153,,147.525000,split,147.525000,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,147 simplex block,,,,
154,,147.537500,split,147.537500,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,147 simplex block,,,,
155,,147.550000,split,147.550000,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,147 simplex block,,,,
156,,147.562500,split,147.562500,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,147 simplex block,,,,
